name,length,start
REC-TYPE,1,1
CORP,3,2
CUST-ID,30,5
APPL,3,35
CCG,3,38
ACCT-ID,17,41
CARD-ID,3,58
HOME-PHONE,10,61
BUSI-PHONE,10,71
MOBILE-PHONE,10,81
FILLER11,1,91
ACCT-NAME,25,92
DOB,8,117
ADRS-SEQN-STMT-ADDR,3,125
ADDR1-STMT-ADDR,10,128
CREDIT LIMIT,15,138
ADDR2-STMT-ADDR,17,153
LAST RPC DATE,8,170
AMT-DUE,15,178
BALANCE,15,193
OVERDUE-DATE,8,208
REPAY-PYMT,15,216
PMT-DUE,8,231
AI-DUE,15,239
AMT-OVER-LIMIT,15,254
POST-CODE-STMT-ADDR,5,269
PROMISE-DATE,8,274
PROMISE-AMOUNT,15,282
PROMISE-STATUS,1,297
PROMISE-SCHEDULE,2,298
FILLER1,1,300
OTHER-NUMB,11,301
OTHER-NUMB-USAG,1,312
OTHER-NUMB-TYPE,1,313
OTHER-NUMB-TEXT,24,314
PROPENSITY CODE 1,3,338
PROPENSITY CODE 2,3,341
CUST-PFX-NAME,4,344
CUST-1ST-NAME,12,348
CUST-MID-NAME,11,360
CUST-LST-NAME,25,371
ADRS-TYPE-STMT-ADDR,1,396
CNTY-NAME-STMT-ADDR,34,397
HARDSHIP INDICATOR,1,431
VIP CUSTOMER INDICATOR,1,432
MULTIPLE ACCOUNTS IN COLLECTIONS,2,433
SURB-CITY-STMT-ADDR,9,435
DEFAULT LETTER SENT DATE,8,444
LAST LETTER DATE,8,452
LAST LETTER TYPE,5,460
WORKLIST ID,5,465
STMT-ADDR,6,470
EMAIL ADDRESS,60,476
TRIAD COLLECTIONS INDICATOR,5,536
BILL DAY,8,541
CUSTOMER TYPE,1,549
BRAND,3,550
ADRS-SEQN-RESI-ADDR,3,553
ADRS-TYPE-RESI-ADDR,1,556
CNTY-NAME-RESI-ADDR,38,557
SURB-CITY-RESI-ADDR,35,595
POST-CODE-RESI-ADDR,9,630
RESI-ADDR,7,639
RISK-SCORE,3,646
NXT-PYMT-AMT,15,649
NXT-PYMT-TYPE,5,664
LAST-PMT-AMT,15,669
LAST-PMT-DATE,8,684
CLASS,30,692
CLASS-PARAMETER,1,722
BLOCK-1,1,723
BLOCK-2,1,724
ACCOUNT-STATUS,3,725
VRS-HOMEPHONE-PREFERENCE,1,728
VRS-WORKPHONE-PREFERENCE,1,729
VRS-OTHERPHONE-PREFERENCE,1,730
VRS-HOMEMOBILE-PREFERENCE,1,731
SMS-HOMEMOBILE-PREFERENCE,1,732
PRODUCT-TYPE,5,733
DELQ-DAYS,4,738
DELQ-CYCLE,2,742
ENTRY-REASON,2,744
RISK-GRADE-NO,2,746
PRODUCT-CODE,3,748
INSTRUCTION-CODE,8,751
